无锡市无锡中关村科技创新园,新吴硕放太科园干城路6号（环太湖高速公路新安出口与312国道交叉处）,5500
无锡市第一上海广场,宜兴市宜兴绿园路恒峰线缆对面,价格待定
无锡市中凯润投资硕放项目,新吴硕放高浪东路19号（高浪路与锡士路交汇处，新区教堂南侧）,价格待定
无锡市中锦城硕放项目,新吴硕放薛典路东侧，经一路西侧,价格待定
无锡市星富广场,新吴硕放薛典路东侧、经一路西侧,价格待定
无锡市新太阳房产阳山项目,惠山堰桥林新路2号,价格待定
无锡市金汇熙园,惠山堰桥东至阳山镇派出所，南至环山路,价格待定
无锡市景湖天成,宜兴市宜兴东临宜园，南至氿南路，西至新长铁路宜兴城区段，北至西氿,14000
无锡市景湖天成,宜兴市宜兴东临宜园，南至氿南路，西至新长铁路宜兴城区段，北至西氿,14000
无锡市万业观山泓郡,锡山东北塘东翔路1509号,20000
无锡市碧桂园天玺,宜兴市宜兴东临宜园，南至氿南路，西至新长铁路宜兴城区段，北至西氿,14000
无锡市景湖天成,江阴市江阴南闸街道金三角路与紫金路交汇处,9500
无锡市融创文化旅游城,滨湖雪浪南泉万达城朗山,19000
无锡市中梁壹号院,宜兴市宜兴太湖大道与学府东路交汇处,价格待定
无锡市海逸北欧假日,宜兴市宜兴中心路166号,6800
无锡市中梁壹号院,宜兴市宜兴太湖大道与学府东路交汇处,价格待定
无锡市香颂世家,宜兴市宜兴凌霞村宜金公路北侧，官林汽车站对面,8500
无锡市山水氿城,宜兴市宜兴宜兴中学东侧500米,价格待定
无锡市恒大溪隐府,滨湖胡埭溪隐路100号（市体育中心北侧）,20000
无锡市山水氿城,宜兴市宜兴宜兴中学东侧500米,13500
无锡市吉祥国际花园,新吴硕放通祥北路19号,10000
无锡市龙湖紫云台,宜兴市宜兴东氿大道与龙潭路交叉处往南2公里,价格待定
无锡市龙湖紫云台,滨湖雪浪南泉蠡湖大道蠡湖大道万达城溪岸景园二区,30000
无锡市溪岸景园,宜兴市宜兴东氿大道与龙潭路交叉处往南2公里,价格待定
无锡市远东香邑,宜兴市宜兴远东大道与科技大道交汇处向西500米（龙湾东侧）,6000
无锡市恒大溪隐府,滨湖胡埭溪隐路100号（市体育中心北侧）,价格待定
无锡市硕放房产新区项目,新吴硕放机场路南侧、硕梅路西侧、硕果路北侧,价格待定
无锡市长泰国际社区,锡山东北塘先锋路与纺城大道交汇,12500
无锡市嘉德港与城,锡山东北塘莱特公司南、团结大道西,价格待定
无锡市嘉德港与城,滨湖胡埭运河西路西侧(航运大厦南侧),17000
无锡市润福置业锡山经济开发区项目,滨湖胡埭运河西路西侧(航运大厦南侧),18000
无锡市银华金融大厦,锡山东北塘锡港公路与花园滨路交汇口,8900
无锡市锡北星邻里国际花园,滨湖胡埭立信大道与金融六街交汇处东南侧,价格待定
无锡市绿地璀璨天城,滨湖胡埭丰润道与震泽路交汇处东北侧,价格待定
无锡市国联房地产太湖新城项目,锡山东北塘春合路近太湖大道,价格待定
无锡市塞纳庄园,滨湖胡埭长广溪国家湿地与环太湖湿地交汇处（南侧与江南景园隔河相望）,价格待定
无锡市塞纳庄园,滨湖胡埭长广溪国家湿地与环太湖湿地交汇处（南侧与江南景园隔河相望）,价格待定
无锡市信运现代城,新吴硕放太湖大道658号（太湖大道南侧，兴竹立交桥东堍）,7500
无锡市圣园,滨湖胡埭马山梅梁路南侧（太湖国家旅游管委会对面）,15000
无锡市太湖瑞仕花园,滨湖胡埭环太湖公路与渔港路交叉口东南侧,价格待定
无锡市昕湖坊,锡山东北塘月溪路108号（甘虞路与月溪路交汇处东北侧）,价格待定
无锡市无锡碧桂园,锡山东北塘锡东高铁站商务区新华路北、润锡路东，锡东大道西侧，锡沪路南侧,价格待定
无锡市明园星都,新吴硕放德育路201号(锦鸿路与德育路交汇处),价格待定
无锡市恒威中央领地,梁溪黄巷清名东路314号（清扬路与清名路交汇处往东20米）,价格待定
无锡市翠竹芙蓉山庄,锡山东北塘友谊北路与锡港路交界处,价格待定
无锡市翠竹芙蓉山庄,锡山东北塘友谊北路与锡港路交界处,价格待定
无锡市荣宏富家,锡山东北塘东港大道与东廊路交界处,9000
无锡市九龙仓玺园,梁溪黄巷动力路,价格待定
无锡市九龙仓玺园,梁溪黄巷南长街与金城路交汇处（古运河文化街的延伸段）,价格待定
无锡市香岛御墅,新吴硕放至德大道797号（至德大道与至礼路交汇处）,价格待定
无锡市长安哥伦布广场,惠山堰桥春惠路198号,30000
无锡市红豆天一华府,锡山东北塘锡沪路北老柏庄路西,25000
无锡市彩旸香江,梁溪黄巷羊腰湾路与向阳路交叉口东,25000
无锡市彩旸香江,梁溪黄巷羊腰湾路与向阳路交叉口东,价格待定
无锡市彩旸香江,梁溪黄巷羊腰湾路与向阳路交叉口东,25000
无锡市美的公园天下,锡山东北塘和祥路，近弘业东路,23000
无锡市华方科创中心,锡山东北塘东亭北路68号（东北塘中心幼儿园附近）,价格待定
无锡市香槟街铂悦府,滨湖胡埭青祁路与建筑路交汇处（新梁溪人家对面）,21000
无锡市世贸中心酒店,锡山东北塘新华路与兴吴路交汇处（锡东世贸中心展示中心）,价格待定
无锡市无锡缤悦湾电商公寓,惠山堰桥天翔路18号,价格待定
无锡市西溪悠然街,惠山堰桥上伟路与钱洛路交汇处,20000
无锡市无锡北邮国昊物联生态园,新吴硕放具区路与净慧东路东北侧,7500
无锡市佛奥天佑城,新吴硕放菱湖大道近和风路,12000
无锡市太平洋城中城天一公馆,惠山堰桥惠山大道与天一路交汇处,价格待定
无锡市华发中南装饰城地块,梁溪黄巷南湖大道与金石路交叉口东北侧,价格待定
无锡市中海凤凰熙岸,滨湖滨湖其他和风路和贡湖大道交汇处,14000
无锡市中广拾萬方,新吴硕放菱湖大道和清源路交汇处西南侧,价格待定
无锡市信义许舍地块,滨湖胡埭状元路与学府路交叉口西南侧,价格待定
无锡市佛奥天佑城,新吴硕放菱湖大道近和风路,价格待定
无锡市四季原著项目,惠山堰桥西石路南侧、凤鸣路西侧,价格待定
无锡市恒基旭辉府,宜兴市宜兴阳羡东路与东氿大道交汇处（万达对面）,13000
无锡市保集蓝郡,宜兴市宜兴新庄小学西侧,13000
无锡市保集蓝郡,宜兴市宜兴新庄小学西侧,8088
无锡市金水名都,宜兴市宜兴新街街道龙池路85号,18000
无锡市恒大珺睿府,宜兴市宜兴庆源大道与东氿大道交汇处往东300米,15000
无锡市保集蓝郡,宜兴市宜兴新庄小学西侧,价格待定
无锡市金水名都,宜兴市宜兴新街街道龙池路85号,10000
无锡市东氿一号,宜兴市宜兴东氿壹号会所（东氿大道旁）,13200
无锡市东氿一号,宜兴市宜兴解放东路北，东氿大道西侧,12000
无锡市建邦华悦氿峰,宜兴市宜兴中学北侧学府路与巷头东路交汇处,9200
无锡市无锡保华旺苑,梁溪黄巷建筑路400号（大统华超市旁）,19500
无锡市南丰汇项目,梁溪黄巷清扬路与永和路交汇处向东约300米（君来洲际酒店西侧）,价格待定
无锡市东宝康园,梁溪黄巷清扬路与滨水路交汇处,价格待定
无锡市御景名仕苑,惠山堰桥兴业路北、西新路南（前洲中心小学西）,价格待定
无锡市溪畔橡园,惠山堰桥石狮路101号,价格待定
无锡市天奇馨城,惠山堰桥人民南路128号,价格待定
无锡市家乐府,梁溪黄巷永乐路380号（清扬路与永乐路交汇处，家乐福旁）,14900
无锡市金科世界城,梁溪黄巷中南路8号（中南路与金城路交叉口东北侧）,价格待定
无锡市太湖锦园,滨湖胡埭渔港路111号,价格待定
无锡市明发商业广场,惠山堰桥惠山大道北环路888号,价格待定
无锡市中瑞一号项目,滨湖胡埭具区路与贡湖大道交叉口西北侧,价格待定
无锡市港下红豆万花城,锡山东北塘健康路和香山路交汇处,价格待定
无锡市港下红豆万花城,锡山东北塘健康路和香山路交汇处,10490
无锡市港下红豆万花城,锡山东北塘健康路和香山路交汇处,价格待定
无锡市无锡明园商务大厦,锡山东北塘和祥路210号（新华路与和祥路交汇处）,10000
无锡市万荟城,惠山堰桥锡澄路地铁1号线刘潭站南侧,10000
无锡市盛世兰亭苑,惠山堰桥陆区镇胜利路59号,价格待定
无锡市国际金融中心项目,惠山堰桥沪宁高铁惠山站区万花路与中惠路交叉口东南侧,价格待定
无锡市高达广场,锡山东北塘通江大道与312国道交汇处（无锡天鹏副食品城北面）,价格待定
无锡市紫金苑天郡,锡山东北塘泉山路与丰惠路的交汇处,8500
无锡市雅居乐旭辉藏珑府,滨湖河埒口梁溪路与蠡溪路交叉口西北侧,30500
无锡市荣盛华府,滨湖塘铁桥雅居乐中央府,25000
无锡市雅居乐中央府,宜兴市宜兴学府路与学院路交汇处往东200米,13000
无锡市雅达阳羡溪山,宜兴市宜兴街道绿园路南,7000
无锡市彩虹未来城,宜兴市宜兴阳羡湖南侧,价格待定
无锡市雅达阳羡溪山,宜兴市宜兴阳羡湖南侧,22000
无锡市海尔创智谷,锡山安镇新华路海尔创智谷,价格待定
无锡市翰林苑,宜兴市宜兴国土资源局西300米,8000
无锡市海尔创智谷,锡山安镇新华路海尔创智谷,价格待定
无锡市翰林苑,宜兴市宜兴国土资源局西300米,5500
无锡市融创大塘御园,梁溪黄巷凤滨路与江海西路交汇处西北侧（联东U谷对面）,价格待定
无锡市滨湖城市投资公司青祁路项目,宜兴市宜兴渚钢路111号,价格待定
无锡市福地桃溪,滨湖胡埭青祁路与展西路交叉口西北侧,价格待定
无锡市绿城无锡桃花源,滨湖胡埭缘溪道与新八路交汇处,价格待定
无锡市金源国际大厦,宜兴市宜兴分水街分百路8号,11000
无锡市龙玺太湖湾,新吴硕放旺庄路和湘江路交汇处,价格待定
无锡市融创氿园,宜兴市宜兴教育东路255号,16000
无锡市融创氿园,宜兴市宜兴教育东路255号,价格待定
无锡市永佳金龙名都,宜兴市宜兴陶都路东侧山前路北侧,6500
无锡市陶里文化商业街,宜兴市宜兴陶都路与川埠路交叉口西北角紫砂村对面,价格待定
无锡市恒大财富中心,滨湖胡埭立德路与吴都路交叉处,13000
无锡市天安智慧城,滨湖胡埭高浪路与菱湖大道交叉路口,6500
无锡市天富广场,锡山东北塘锡沙路与振新路交叉口东南侧,11000
无锡市深港宝阁丽,新吴硕放纺城大道299号,11594
无锡市大宗钢铁惠山项目,惠山堰桥新邺大道与玉泉路交叉口东北侧（晴山蓝城后面）,价格待定
无锡市无锡欢乐海洋世界,锡山东北塘锡北镇S228与西新路交汇处,价格待定
无锡市滨湖城市投资公司青祁路项目,滨湖胡埭青祁路与展西路交叉口西北侧,价格待定
无锡市华夏大厦,锡山东北塘高铁商务区广诚路东、延庆街南,价格待定
无锡市锡北泉山中心商业广场,锡山东北塘泾声路近泾达北路,11111
无锡市天宇商务大厦,锡山东北塘高铁站商务区丹山路东、延庆街南,价格待定
无锡市嘉福公寓,锡山东北塘团结中路近春江路,8500
无锡市香梅香墅,新吴硕放新区南星路与通祥路交叉口向南200米,16000
无锡市太湖嘉汇广场,滨湖胡埭大通路与立信大道的交汇处（周新苑对面）,价格待定
无锡市南方不锈钢国际交易中心,新吴硕放纺城大道289号（新兴路以北）,11000
无锡市无锡圆融广场,梁溪黄巷锡澄路近江海路,11000
无锡市香梅香墅,新吴硕放南星路与通祥路交叉口向南200米,价格待定
无锡市上海中心城开国际,滨湖胡埭太湖大道1886号（隐秀路口）,价格待定
无锡市嘉汇嘉园,新吴硕放湘江路以东、旺庄路以南、天山路以北（宝龙广场斜对面）,价格待定
无锡市港龙财智国际,惠山堰桥盛岸西路南侧、乐多花园西侧,价格待定
无锡市港龙财智国际,惠山堰桥盛岸西路南侧、乐多花园西侧,价格待定
无锡市恒隆广场写字楼,梁溪黄巷人民中路139号,价格待定
无锡市阳光100国际新城商铺,惠山堰桥天一新街1号（旅游商贸学校旁）,15000
无锡市红星大都汇,滨湖长广溪大学城观山路与五湖大道交汇处,20000
无锡市佛奥·天佑城,滨湖塘铁桥新吴区太科园菱湖大道与和风路交界处向西100米,12000
无锡市新发汇融净慧西道地块,新吴硕放新吴区净慧西道与和风路交叉口东北侧,价格待定
无锡市无锡圆融广场,梁溪民丰庄前梁溪区锡澄路与江海路交叉口东南侧,价格待定
无锡市华润橡树湾-万象公馆,惠山堰桥无锡市惠山区政和大道与欣惠路交叉口东南侧,价格待定
无锡市耘林锡海珈苑,滨湖湖滨商业街中桥苏锡路207号（贡湖大道西侧）,价格待定
无锡市宝龙世家,新吴生态园长江南路宝龙世家,价格待定
无锡市太湖雍华府,新吴新安菱湖大道招商宁乐路地块,价格待定
无锡市九如城氿麓花园,宜兴市宜兴东氿大道与宜浦路交叉口向东300米,16000
无锡市阳光100凤凰街,宜兴市宜兴解放东路帕佛伦斯酒店旁,20000
无锡市恒天紫金城,宜兴市宜兴通蜀东路和双桥路交汇（原韩国城）,11000
无锡市中交阳羡美庐,宜兴市宜兴阳羡生态旅游区玉女潭景区对面,17000
无锡市中交阳羡美庐,宜兴市宜兴阳羡生态旅游区玉女潭景区对面,13000
无锡市九龙依云,宜兴市宜兴荆邑路向南到底龙背山中（无锡工艺职业技术学校）,28571
无锡市中国宜兴国际环保城,宜兴市宜兴远东大道66号,价格待定
无锡市御景豪庭,宜兴市宜兴三鑫路88号（新建镇镇政府斜对面）,8000
无锡市鸿威东方雅园,宜兴市宜兴西施路185号,12000
无锡市鸿威东方雅园,宜兴市宜兴西施路185号,价格待定
无锡市玉麒会,惠山堰桥湖西路与锡玉路交口东北侧,16500
无锡市博大假日广场欢乐颂,滨湖胡埭蠡湖大道近高浪路,19500
无锡市博大假日广场欢乐颂,滨湖胡埭蠡湖大道近高浪路,19500
无锡市中国工业博览园工业设计中心,新吴硕放金城东路333号（五洲国际工业博览城东侧）,7000
无锡市无锡商会大厦,滨湖胡埭新城主干道和风路和立德道的交叉路口,10000
无锡市无锡恒生科技园,惠山堰桥中兴路与中惠路交叉口西北侧（沪宁高铁惠山站附近）,7500
无锡市御景珑庭,惠山堰桥崇文路北，西新路南（前洲中心小学西）,10000
无锡市华盛苑,新吴硕放行创四路近新光路,价格待定
无锡市新发汇融广场,新吴硕放太科园净慧东道和风路交汇处（新区科技文化交流中心对面）,价格待定
无锡市锡通科技大厦,新吴硕放菱湖大道180-8号（菱湖大道和风路交叉口）,价格待定
无锡市五洲国际广场银河城,梁溪黄巷广益路313号（广益路与江海路交汇处）,8700
无锡市茂业时代广场,梁溪黄巷中山路与解放北路交汇处（中山路618号）,15000
无锡市时代广场二期,惠山堰桥锡澄路与文惠路交汇处（惠山新城）,价格待定
无锡市时代广场二期,惠山堰桥锡澄路与文惠路交汇处（惠山新城）,价格待定
无锡市龙世西湖湾庄园,惠山堰桥民主路东、振祁路西（北至现状河道、南至现状河道）,价格待定
无锡市苏宁悦城,滨湖胡埭南湖大道西侧、观山路北侧（锡师附小旁）,价格待定
无锡市苏宁广场,梁溪黄巷人民中路111号,价格待定
无锡市华夏东港镇项目,锡山东北塘东港路北、金星路东,价格待定
无锡市华夏东港镇项目,锡山东北塘东港路北、金星路东,价格待定
无锡市华夏东港镇项目,锡山东北塘东港路北、金星路东,价格待定
无锡市建发玖里湾,锡山安镇山河路建发玖里湾,17500
无锡市华府天地尊园,滨湖海岸城市民中心观顺道华府天地尊园,60000
无锡市中堂院墅,锡山东亭友谊南路中堂,12000
无锡市富力城,新吴江溪江溪路富力城,31000
无锡市龙湖天璞,滨湖万象城东绛周新路龙湖天璞项目,价格待定
无锡市国美南长华府,梁溪清名桥梁溪区通扬路64号,价格待定
无锡市宝龙世家,新吴生态园长江南路宝龙世家,价格待定
无锡市龙湖天宸原著,惠山堰桥堰新路龙湖天宸原著,价格待定
无锡市中海寰宇天下,新吴坊前春华路与春合路交叉口,价格待定
无锡市绿地天空树,滨湖雪浪南泉蠡湖大道与具区路交汇处（华莱坞南侧）,价格待定
无锡市荷兰岛郁金香庄园,宜兴市宜兴氿南路宜园对面西侧300米郁金香庄园售楼处,价格待定
无锡市尚水名筑,宜兴市宜兴新城大道和振兴路交汇处,7500
无锡市岭秀首府,宜兴市宜兴东氿南岸（帕佛伦斯酒店往南200米）,价格待定
无锡市岭秀首府,宜兴市宜兴东氿南岸（帕佛伦斯酒店往南200米）,价格待定
无锡市万庭嘉融域,宜兴市宜兴庆源大道北侧，东氿大道东侧,16423
无锡市万庭嘉融域,宜兴市宜兴庆源大道北侧，东氿大道东侧,价格待定
无锡市优湖美地花园,宜兴市宜兴太湖大道、学府东路交叉处（新省宜中东侧）,13500
无锡市宜兴碧桂园,宜兴市宜兴孝侯路与芳溪路交汇口（阳山荡风景区对面）,11000
无锡市宜兴碧桂园,宜兴市宜兴孝侯路与芳溪路交汇口（阳山荡风景区对面）,价格待定
无锡市金汇熙园,宜兴市宜兴绿园路恒峰线缆对面,11000
无锡市索立得科技社区,锡山东北塘团结大道与春晖路交界口,6500
无锡市润华国际大厦,滨湖胡埭太湖大道与青祁路交叉口北侧（新体育中心旁）,18000
无锡市恒华科技园,滨湖胡埭绣溪路58号（江南大学南大门）,8000
无锡市国慧商务广场,惠山堰桥惠山大道108号（明发商业广场北面300m）,7500
无锡市麦库MYCO,新吴硕放长江北路106号(长江北路东侧、金城东路南侧),12000
无锡市蠡湖花都隐秀路项目,滨湖胡埭经贸路与隐秀路交叉口西北侧,价格待定
无锡市节能环保大厦,滨湖胡埭建筑西路99号（宝通大厦附近）,价格待定
无锡市建科COPO,滨湖胡埭蠡湖大道2018号,7000
无锡市华荣春晖科技园,锡山东北塘春晖路35号（团结路春晖路交叉口往东800米处）,价格待定
无锡市红豆东方财富广场,锡山东北塘丹山路西、东翔路北,价格待定
无锡市金洋·奥澜,惠山堰桥探索路1号,20000
无锡市绿地西水东,梁溪迎龙桥振新路与学前路交汇处,30000
无锡市东岭锡上,梁溪三阳广场人民中路东岭锡上项目,30000
无锡市玺悦珑庭,锡山东亭太湖大道光明长椿金属地块,价格待定
无锡市玺悦珑庭,锡山东亭太湖大道光明长椿金属地块,价格待定
无锡市富力运河十号,梁溪扬名南长区运河西路和芦村路交汇处,价格待定
无锡市富力运河十号,梁溪扬名运河西路和芦村路交汇处,22000
无锡市世茂璀璨时光,梁溪北大街锡沪路世茂璀璨时光,价格待定
无锡市彩旸香江,新吴塘南向阳路彩旸香江,25000
无锡市东岭锡上,梁溪三阳广场人民中路东岭锡上项目,价格待定
无锡市绿地璀璨天城,锡山东亭太湖大道与华夏南路交汇处,20000
无锡市华发首府,梁溪扬名南湖大道华发首府,20000
无锡市梅园欢乐广场,滨湖梅园滨湖区钱荣路与梅茶路交汇口,30000
无锡市梅园欢乐广场,滨湖梅园滨湖区钱荣路与梅茶路交汇口,13000
无锡市茂瑞府,惠山洛社雅中路茂瑞府,13000
无锡市太湖金茂逸墅,滨湖雪浪南泉新八路太湖金茂逸墅,24000
无锡市东锦家园,宜兴市宜兴[宜兴-和桥镇]闸口公路东面,6000
无锡市龙湖蠡湖天著,滨湖新体育中心中国\u3000无锡\u3000蠡湖\u3000太湖大道与环湖路交叉口往西２００米（蠡湖之光对面）,32000
无锡市百和国际花园,锡山安镇高铁商务区和祥路百和国际花园,20000
无锡市龙湖蠡湖天著,滨湖新体育中心中国\u3000无锡\u3000蠡湖\u3000太湖大道与环湖路交叉口往西２００米（蠡湖之光对面）,价格待定
无锡市明发国际新城,惠山西漳水岸雅苑97-601号,12000
无锡市红豆财富广场F公馆,锡山安镇[锡山-锡东]丹山路西、东翔路北,价格待定
无锡市荣悦湾,滨湖梅园观湖路荣悦湾,20000
无锡市恒大华府,滨湖塘铁桥南霞路恒大华府,21000
无锡市保利融侨时光印象,梁溪广益无锡市梁溪区锡虞路与桐桥港路交叉口,16000
无锡市长泰御园·悦公馆,新吴东亭锡山区锡沪路延伸段与纺城大道交汇处（英特宜家、锡山湿地公园旁）,147
无锡市洛城雅锦园,惠山洛社洛城大道102号雅中路与校园路交叉口东南侧,13000
无锡市远洋太湖宸章,新吴旺庄秀景路与净慧东道交汇处,17000
无锡市碧桂园金茂悦山,锡山锡北泾声路碧桂园金茂悦山,220
无锡市碧桂园金茂悦山,锡山锡北泾声路碧桂园金茂悦山,11500
无锡市无锡圆融广场,梁溪民丰庄前锡澄路与江海路交叉口东南侧,25000
无锡市长江领寓,新吴江溪长江北路长江领寓,55
无锡市龙湖阳光城璞悦项目,宜兴市宜兴宜官路龙湖阳光城璞悦项目,11000
无锡市华发首府,梁溪扬名南湖大道华发首府,价格待定
无锡市无锡圆融广场,梁溪民丰庄前锡澄路与江海路交叉口东南侧,价格待定
无锡市绿地璀璨天城,锡山东亭太湖大道与华夏南路交汇处,价格待定
无锡市小天鹅雍山府,梁溪山北盛岸西路和钱皋路交叉口,17500
无锡市洛城雅锦园,惠山洛社洛城大道102号雅中路与校园路交叉口东南侧,11000
无锡市永乐国际,梁溪黄巷暂无,价格待定
无锡市中电二公司原总部大楼,滨湖蠡湖新城蠡溪路888号,价格待定
无锡市宛溪雅居,锡山安镇联福路宛溪雅居,13500
无锡市无锡康桥府,滨湖河埒口青祁路无锡康桥府,500
无锡市吴樾东方,新吴梅村金城路吴樾东方,22000
无锡市远洋湖墅,滨湖华庄无锡市新吴区净慧东道与近湖路交叉口,260
无锡市融创文化旅游城,滨湖雪浪南泉具区路万达城兰园,22000
无锡市玫瑰香堤,锡山东北塘锦旺路1号,21000
无锡市小天鹅望山院墅,梁溪山北惠钱路与钱皋路交叉口,17000
无锡市悦湖官邸项目,惠山洛社洛城大道悦湖官邸项目,价格待定
无锡市银城蔚来,滨湖塘铁桥高浪路与南湖大道交汇处,240
无锡市宝能城,滨湖海岸城市民中心吴都路和观顺道交汇处,价格待定
无锡市国美南长华府,梁溪清名桥通扬路64号,18000
无锡市绿地观澜湾,梁溪北大街县前西街与解放西路交叉口西北侧,24000
无锡市翠屏·汇天地,锡山安镇新华路1099号,14000
无锡市宝龙世家,新吴生态园长江南路宝龙世家,13000
无锡市龙湖星悦荟,新吴旺庄太科园具区路与净慧西道交叉口处,13000
无锡市澜山郡,滨湖雪浪南泉蠡湖大道与清源路交汇处南侧,22000
无锡市万科有山,惠山阳山桃溪路与阳杨路交汇处向南100米,300
无锡市万科有山,惠山阳山桃溪路与阳杨路交汇处向南100米,12500
无锡市华夏世纪锦园南区,锡山安镇锡东大道与胶阳路交汇处,13000
无锡市龙世西湖湾,惠山玉祁民主路东、振祁路西,8000
无锡市世贸中心酒店,锡山安镇新华路西世贸中心酒店,价格待定
无锡市金轮湖晓兰庭,滨湖马山霞光路金轮湖晓兰庭,20000
无锡市阳光100国际新城北区,惠山西漳阳光100国际新城,15000
无锡市世茂璀璨时光,梁溪北大街锡沪路世茂璀璨时光,16000
无锡市国瑞洛社新城15号地块,惠山洛社雅中路国瑞洛社新城15号地块,价格待定
无锡市无锡康桥府,滨湖河埒口梁溪路与青祁路交叉口东南侧,价格待定
无锡市金科蠡湖,滨湖蠡湖新城金城西路金科蠡湖,28000
无锡市吴樾东方,新吴梅村金城路吴樾东方,16000
无锡市融创枫丹御园,新吴鸿山鸿山至德大道与三让路交汇处,13000
无锡市蠡湖金茂府,滨湖湖滨商业街金城西路与金水路交叉口西北侧,650
无锡市吉宝凌云峰阁,梁溪民丰庄前江海路南侧、锡澄路西侧,18000
无锡市长兴秀江南,江阴市江阴黄河东路8号,690
无锡市无锡保华马山项目,滨湖马山陆马公路无锡保华马山项目,价格待定
无锡市耘林锡海珈苑,滨湖湖滨商业街中桥苏锡路207号,价格待定
无锡市兰桂坊地块,滨湖海岸城市民中心贡湖大道兰桂坊地块,价格待定
无锡市国美南长华府,梁溪清名桥梁溪区通扬路64号,19000
无锡市中联公园里,锡山东北塘芙蓉六路枫林晚,10500
无锡市路劲蠡湖院子,滨湖蠡湖新城中南西路与蠡溪路交西南侧,535
无锡市周新立信大道地块,滨湖万象城东绛周新路周新立信大道地块,价格待定
无锡市宜兴恒大花溪小镇,宜兴市宜兴科技大道宜兴恒大花溪小镇,8500
无锡市寺头家园三期,惠山西漳天锦路寺头家园三期,11000
无锡市无锡奥凯城市广场,惠山前洲从商路与中惠路交叉口东北侧,价格待定
无锡市恒廷弘业路地块,锡山安镇先锋东路恒廷弘业路地块,价格待定
无锡市龙湖明园路地块,滨湖新体育中心明园路龙湖明园路地块,价格待定
无锡市金科集美壹品,惠山钱桥钱桥街道金科钱桥地块,价格待定
无锡市龙湖明园路地块,滨湖新体育中心明园路龙湖明园路地块,价格待定
无锡市金科集美壹品,惠山钱桥钱桥街道金科钱桥地块,价格待定
无锡市周新立信大道地块,滨湖万象城东绛周新路周新立信大道地块,价格待定
无锡市兰桂坊地块,滨湖海岸城市民中心贡湖大道兰桂坊地块,价格待定
无锡市万科翡翠东方,滨湖塘铁桥吴都路与南湖大道交汇处西北侧,30000
无锡市弘阳昕悦棠,惠山前洲从商路弘阳昕悦棠,11500
无锡市华发首府,梁溪扬名南湖大道华发首府,价格待定
无锡市无锡欢乐海洋世界,锡山锡北西新路无锡欢乐海洋世界,价格待定
无锡市绿地中央广场,梁溪清名桥永和路绿地中央广场,价格待定
无锡市北科建·无锡中关村软件园太湖分园,新吴新安太科园干城路6号,5500
无锡市IN立方创新空间,锡山东北塘芙蓉六路8号,价格待定
无锡市金都跃公馆,惠山堰桥政和大道298号（区行政服务中心旁）,价格待定
无锡市蓝城无锡江南里,梁溪黄巷南长街与塘泾路交叉口（水仙道院南侧）,价格待定
无锡市御景珑庭,惠山堰桥崇文路北，西新路南（前洲中心小学西）,10000
无锡市龙湖九里晴川,惠山阳山阳山锡陆路狮子山麓,价格待定
无锡市宝龙香槟湖,惠山玉祁惠山区玉祁唐平路与福西路交汇处,价格待定
无锡市吴月雅境,新吴鸿山锡梅路与鸿山路交汇处,500
无锡市华府庄园白金府邸,惠山堰桥惠山大道1525号,价格待定
无锡市龙泽半岛逸湾,惠山玉祁玉祁平湖城,11000
无锡市田园东方,惠山阳山阳山镇新河路与桃源东路交叉口西北侧,价格待定
无锡市栖霞栖园,滨湖梅园香雪路与渔港路交叉口的西北侧,26000
