无锡市无锡中关村科技创新园,新吴硕放太科园干城路6号（环太湖高速公路新安出口与312国道交叉处）,5500
无锡市百乐和园,惠山钱桥盛岸西路与佰乐路路口,价格待定
无锡市香缇半岛,惠山钱桥盛岸路洋溪公园城内,价格待定
无锡市耘林生命公寓,滨湖华庄太科园具区路以南、净慧东道以西,18000
无锡市明发商业广场,惠山西漳惠山大道北环路888号,25000
无锡市长江一号,新吴旺庄旺庄路与长江路交汇口东南角,7800
无锡市保华敔山湾,江阴市江阴长山大道保华敔山湾,21000
无锡市保华旺苑,梁溪五爱广场迎龙路保华旺苑,价格待定
无锡市太平洋城中城,惠山西漳惠山大道与天一路交汇处,10000
无锡市雅居乐中央府,滨湖塘铁桥观山路与贡湖大道交汇处东南侧,价格待定
无锡市国际一花园,新吴坊前春华路168,13500
无锡市建发玖里湾,锡山安镇山河路建发玖里湾,25000
无锡市诚寓,新吴塘南学前东路诚寓,9500
无锡市富屹新城国际,滨湖华庄龙湖滟澜山艺墅580号,13000
无锡市荣悦湾,滨湖梅园观湖路荣悦湾,18000
无锡市蓝光雍锦园,锡山东亭二泉东路与团结中路交汇处,370
无锡市红豆香江豪庭,锡山安镇润锡路与兴吴路交界处,21000
无锡市寰宇中心,新吴坊前寰宇中心,价格待定
无锡市新震泽秀水坊项目,滨湖海岸城市民中心贡湖大道新震泽秀水坊项目,价格待定
无锡市深航置业五湖大道东项目,滨湖万象城东绛五湖大道深航置业五湖大道东项目,价格待定
无锡市西城荟,惠山钱桥钱桥大街343号,20000
无锡市涌金诚商业中心,新吴梅村新锦路涌金城商业中心,价格待定
无锡市保华旺苑,梁溪五爱广场迎龙路保华旺苑,价格待定
无锡市翠屏·汇天地,锡山安镇新华路1099号,20000
无锡市碧桂园湖悦天境项目,宜兴市宜兴太湖大道碧桂园湖悦天境项目,12000
无锡市碧桂园南光城,惠山洛社江海路与洛南大道交汇处,13000
无锡市太湖雍华府,新吴新安菱湖大道招商宁乐路地块,17000
无锡市美的中骏雍景湾,锡山东港东港大道美的市民公园北地块,12000
无锡市龙湖天鉅,惠山堰桥惠源路龙湖天鉅项目,15000
无锡市万科运河传奇,梁溪扬名南长街万科运河传奇,20000
无锡市龙湖天璞,滨湖万象城东绛周新路龙湖天璞项目,23500
无锡市紫光置业立信大道项目,滨湖海岸城市民中心立信大道紫光置业立信大道项目,价格待定
无锡市东岭锡上,梁溪三阳广场人民中路东岭锡上项目,价格待定
无锡市香樟公馆项目,江阴市江阴长山大道29号,价格待定
无锡市中邦·欢乐颂,新吴东亭太湖大道与春阳路交界处,7200
无锡市鸿威鸿景雅园,锡山锡北锡山区锡北新锡沙路与泉山路交汇,10500
无锡市吉宝澜岸铭邸,滨湖长广溪大学城金石路与高浪路交叉口东北侧,26000
无锡市积水住宅裕沁湖畔庭,滨湖华庄太科园菱湖大道以西、湖景路以北,550
无锡市阿维侬庄园,滨湖马山马山十里明珠堤与梅梁路交叉口,16000
无锡市ΜΟΜΛ春风湖上,锡山鹅湖鹅湖镇景园路东、望湖路北、新园桥路南,11500
无锡市富力十号,滨湖万象城东绛太湖新城高浪路与立信大道交汇处,35000
无锡市绿地西水东,梁溪迎龙桥振新路与学前路交汇处,40000
无锡市启迪协信·阿卡迪亚,滨湖华庄太湖国际科技园菱湖大道以东,16000
无锡市家乐苑,梁溪清名桥清扬路与永乐路交汇处永乐路380号,15000
无锡市万科观湖礼著,滨湖华庄太科园秀景路与国信支路交汇处,价格待定
无锡市银城蔚来,滨湖塘铁桥高浪路与南湖大道交汇处,45
无锡市美的国宾府,惠山西漳天丰路美的国宾府,16500
无锡市万科新酩悦,滨湖万象城东绛万顺路与大通路交叉口,23000
无锡市绿地西水晶舍,梁溪山北新惠路与广惠路交叉口东南侧,18500
无锡市中洲花溪樾,锡山鹅湖蘅芳路2号,18000
无锡市华润橡树湾,惠山堰桥政和大道与锡澄路交汇处,价格待定
无锡市华润江南府,新吴东亭东安路与云竹路交会处,31000
无锡市鸿墅,惠山堰桥惠山新城惠源路789号,价格待定
无锡市鸿坤理想湾,新吴鸿山至德大道797号,10000
无锡市路劲梅都府,新吴梅村泰伯大道路劲梅村脱普地块,17000
无锡市万科吴都路地块,滨湖塘铁桥吴都路万科吴都路地块,价格待定
无锡市玺悦珑庭,锡山东亭东亭街道东亭路与春新路交叉口西北侧,价格待定
无锡市吉宝富力城南地块,新吴江溪机场路吉宝富力城南地块,价格待定
无锡市苏源万寿站地块,惠山前洲万寿路苏源万寿站地块,价格待定
无锡市蠡湖一号,滨湖湖滨商业街中桥苏锡路207号,价格待定
无锡市耘林锡海珈苑,滨湖蠡湖新城金城西路与青祁路交汇处金城西路（蠡湖公园对面）,650
无锡市蠡湖一号,滨湖蠡湖新城金城西路与青祁路交汇处金城西路（蠡湖公园对面）,20000
无锡市首开永泰渔港路地块,滨湖梅园渔港路首开永泰渔港路地块,价格待定
无锡市佛奥·天佑城,滨湖雪浪南泉状元路信义状元路地块,价格待定
无锡市信义状元路地块,滨湖塘铁桥太科园菱湖大道与和风路交界处向西100米,12000
无锡市绿城凤起和鸣,滨湖海岸城市民中心立信大道与和风路交汇处,32000
无锡市银城蔚来,惠山洛社中央路华广新城西路地块,价格待定
无锡市华广新城西路地块,滨湖塘铁桥高浪路与南湖大道交汇处,16000
无锡市无锡世奥广场,锡山安镇翠山路东、兴吴路北,价格待定
无锡市中锐星公元,滨湖塘铁桥贡湖大道与塘铁桥路交叉口东南侧,29000
无锡市阳光100喜马拉雅,滨湖海岸城市民中心立信大道与和风路交叉口,20000
无锡市太湖ONE,滨湖雪浪南泉延安西路1358号,19000
无锡市溪岸景园,滨湖雪浪南泉蠡湖大道蠡湖大道万达城溪岸景园二区,22000
无锡市中洲花溪樾,锡山鹅湖蘅芳路2号,13000
无锡市新力帝泊湾,滨湖胡埭胡埭镇人民东路与刘闾路交汇处,260
无锡市新力帝泊湾,滨湖胡埭胡埭镇人民东路与刘闾路交汇处,12500
无锡市时代城,惠山钱桥上伟路与香缇路交汇处,12000
无锡市上置江南华府,新吴鸿山鸿山国际新城至德大道797号,价格待定
无锡市锦熙府,梁溪黄巷中山路与凤翔路交叉口东南侧,17000
无锡市红豆首府二期,锡山东亭东港镇锡港路与运河路交叉口东北处,12000
无锡市红星大都汇,滨湖长广溪大学城观山路与五湖大道交汇处,100
无锡市万科天一玖著,惠山西漳天昌路南侧、凤鸣路西侧,17000
无锡市龙山大厦,滨湖荣巷梁青路与鸿桥路交叉口东南侧梁清路555号,11000
无锡市融创东方御园,锡山安镇山河路山河雅园80号,17000
无锡市中联公园里,锡山东北塘东亭北路、兴塘河旁,10000
无锡市中联公园里,锡山东北塘东亭北路、兴塘河旁,价格待定
无锡市绿地观澜湾,梁溪北大街县前西街与解放西路交叉口西北侧,15000
无锡市金科米兰花园,新吴江溪江溪路28号,19000
无锡市长广溪旭天科技谷,滨湖雪浪南泉绣溪道55号,7500
无锡市奥体紫兰园,新吴鸿山锦鸿路奥体紫兰园,价格待定
无锡市星洲科技商务园,新吴旺庄锡新一路星洲科技商务园,7800
无锡市百好锦园三期,惠山堰桥锡澄路百好锦园三期,11000
无锡市宛溪雅居,锡山安镇联福路宛溪雅居,11000
无锡市朗诗太湖绿郡,滨湖塘铁桥新市民中心东侧,价格待定
无锡市中城誉品,滨湖河埒口梁溪路与孙蒋路交叉口西南侧,18500
无锡市太湖瑞仕花园,滨湖梅园环太湖公路与渔港路交叉口东南侧,20000
无锡市九龙仓碧玺A区,梁溪扬名通扬南路与新光路交叉口往北200米,18500
无锡市小天鹅雍山府,梁溪山北盛岸西路和钱皋路交叉口,17500
无锡市恒大御峰,锡山东亭二泉东路与纺达路交汇处,23000
无锡市恒大观澜府,锡山东北塘东北塘芙蓉五路与承塘路交叉口,17000
无锡市中海寰宇天下,新吴坊前春华路与春合路交叉口,16000
无锡市中海凤凰熙岸,滨湖华庄中海凤凰熙岸,15000
无锡市金宸国际花园,江阴市江阴花北路南侧、北潮河路东侧（项目现场）,8200
无锡市御景名仕苑,惠山前洲前洲镇兴业路北、西新路南,320
无锡市小天鹅望山院墅,梁溪山北惠钱路与钱皋路交叉口,17000
无锡市华夏东城一品,锡山安镇锡沪路与西安路交界处,14000
无锡市玫瑰香堤,锡山东北塘东北塘芙蓉五路与承塘路交界处(北邻东北塘实验小学),21000
无锡市嘉盛维纳阳光,惠山堰桥惠山新城金惠路与吴韵路交汇处,11000
无锡市香榭一品,梁溪五爱广场人民西路148号,20000
无锡市富力运河十号,梁溪扬名运河西路和芦村路交汇处,23000
无锡市金域香颂,锡山安镇锡沪路与人民路交叉处，人民路东，锡沪路南,12000
无锡市盛世兰亭,惠山阳山阳山镇胜利路,350
无锡市世纪明珠,锡山羊尖羊尖高中西，育才西路南,7500
无锡市东宝康园,梁溪扬名清扬路313号,12000
无锡市中海英伦观邸,滨湖胡埭胡埭镇安泰路与芙蓉北路交汇处,11000
无锡市润华国际大厦,滨湖新体育中心太湖大道与青祁路交叉口北侧,20000
无锡市万科天一新著,惠山西漳惠山天锦路和凤鸣路交汇,16000
无锡市中洲崇安府,梁溪广益锡沪东路与广和路交汇处,20000
无锡市华夏文华国际,锡山东亭华夏中路3号,13000
无锡市华宸·汇普金融大厦,梁溪扬名通扬南路55-2号汇普金融大厦接待中心,13000
无锡市红梅·新天地,梁溪北大街县前西街与解放西路交叉口西北侧,价格待定
无锡市前洲五洲国际广场,惠山前洲前洲中兴路与唐平大道交汇处,20000
无锡市西城荟,惠山钱桥钱桥大街343号,28000
无锡市多友·嘉悦中心,新吴江溪长江路万科东郡东北侧,8500
无锡市蓝光雍锦园,锡山东亭二泉东路与团结中路交汇处,14000
无锡市硕放香梅哥伦布广场,新吴硕放硕放裕丰路以东、南星路以南,28000
无锡市芙蓉山庄B区,锡山东北塘友谊北路芙蓉山庄B区,12000
无锡市香槟街铂悦府,滨湖新体育中心青祁路与建筑路交接处,21000
无锡市印象剑桥,滨湖马山常乐路8号,22000
无锡市金都花园,惠山堰桥政和大道298号,12000
无锡市半山一号,滨湖马山环山东路1号,1600
无锡市映月华府,锡山安镇高铁商务区山河路与润锡路交叉口,14000
无锡市富力城,新吴江溪江溪板块锡士路西侧、机场路东侧、金城路南侧、江西路北侧,31000
无锡市堰湾长堤,惠山堰桥堰桥街道锡澄路与堰新路交叉口西北侧,10500
无锡市弘阳三万顷,滨湖马山太湖国家旅游度假区环山东路8号,311
无锡市吉祥国际花园,梁溪广瑞广丰江海路西侧广益路北侧,18500
无锡市融侨悦府,新吴硕放通祥北路19号,10000
无锡市金桂尚苑,梁溪中桥太湖大道以北、金星路以南,15000
无锡市南方港湾城,新吴坊前纺城大道289号,66
无锡市美的公园天下,锡山安镇和祥路南，弘业东路东,16000
无锡市美新玫瑰庄园,梁溪中桥湖滨路809号,24000
无锡市天安曼哈顿,新吴坊前江华路18号,13000
无锡市明发国际新城,惠山西漳水岸雅苑97-601号,12000
无锡市中威国际公寓,惠山堰桥惠山区文惠路与吴韵路交叉口(惠山区政府正对面),6500
无锡市天元世家,新吴梅村新韵北路与锡贤路交叉口,200
无锡市碧桂园梅公馆,梁溪迎龙桥红星路28号,20000
无锡市万业观山泓郡,锡山安镇东翔路1509号,18000
无锡市深港亚太中心,新吴坊前纺城大道299号,11000
无锡市锡北泉山中心商业广场,锡山锡北泾声路北侧、泾达北路西侧,14500
无锡市四季公寓,新吴坊前纺城大道288号,9000
无锡市昕湖坊,锡山鹅湖鹅湖镇甘虞路东、月溪路北,10000
无锡市中南君悦府,新吴硕放新吴区空港产业园环太湖高速公路南侧、通祥路西侧,14500
无锡市九龙仓御玺,新吴塘南塘南路114号,价格待定
无锡市御景华庭,锡山羊尖羊尖镇育才路与新羊大道交汇处,价格待定
无锡市无锡奥凯城市广场,惠山前洲从商路与中惠路交叉口东北侧,8000
无锡市盛唐乐享城,梁溪黄巷民丰路275-279号,18000
无锡市万科V+米寓,新吴江溪长江北路与叙康路交汇处金域缇香科技生活馆,13000
无锡市五洲国际广场·银河城,梁溪广益广益路与江海路交汇处,6300
无锡市五洲国际广场·银河城,梁溪广益广益路与江海路交汇处,8700
无锡市天富广场,锡山锡北锡北镇锡沙路与振新路交叉口东南侧,11000
无锡市五洲国际小商品城,惠山钱桥盛岸西路668号,10000
无锡市新联钢大厦,梁溪广益广益路1288号,6800
无锡市联东U谷无锡总部商务园,梁溪民丰庄前凤宾路100号总部商务园,12000
无锡市晶石国际中心,锡山东亭东亭中路20号,13000
无锡市龙湖九墅天玺,锡山东亭友谊路与锡沪路交叉口,价格待定
无锡市阿维侬庄园,滨湖马山马山十里明珠堤与梅梁路交叉口,16000
无锡市正大万物城,新吴生态园长江南路与新华路交汇处,13000
无锡市金科米兰花园,新吴江溪江溪路28号,14000
无锡市西溪碧桂园,惠山钱桥上伟路和钱洛路交汇处,10000
无锡市融创玉兰璟园,锡山东北塘东亭路与春塘路交汇处金瑚湿地公园内,13500
无锡市蓝光雍锦里,锡山东亭东亭路与春鑫路交汇处,12000
无锡市恒大绿洲,锡山东亭东亭南路、太湖大道交界处向南100米,价格待定
无锡市绅华府,新吴生态园高浪路与锡士路交汇处,11000
无锡市彩虹城,新吴旺庄长江路11号千禧大酒店,35000
无锡市苏宁广场,梁溪三阳广场人民路与新生路交汇处,18000
无锡市金洋·奥澜,惠山堰桥探索路1号,150
无锡市恒大财富中心,滨湖海岸城市民中心太湖新城立德路与吴都路的交汇处嘉业财富中心8号,14000
无锡市太湖锦绣园,滨湖梅园渔港路与望湖路南,2000
无锡市凤鸣山庄,新吴鸿山鸿山新市镇锡贤路以南,370
无锡市太湖锦园,滨湖梅园渔港路111号,3600
无锡市保利中央公园,新吴江溪长江北路哥伦布广场南侧,43000
无锡市圣园,滨湖马山太湖国家旅游度假区梅梁东路南侧,16000
无锡市绿地西水东,梁溪迎龙桥振新路与学前路交汇处,23000
无锡市中海新天地,滨湖海岸城市民中心和风路与贡湖大道交汇处,19000
无锡市中梁首府壹号,锡山安镇新华路东、兴越路南,28000
无锡市国信世家璞园,新吴坊前金城东路与锡兴路交汇处,264
无锡市蠡湖金茂府,滨湖湖滨商业街金城西路与金水路交叉口西北侧,31000
无锡市荣宏富家,锡山东港东港大道与东廊路交界处,9000
无锡市红豆人民路九号,梁溪上马墩锡沪路与江海路交叉口西南侧,17000
无锡市茂业天地观园,梁溪清名桥文华路茂业天地观园,18000
无锡市首创悦府,新吴江溪悦府园,25000
无锡市山水湖滨花园二期,滨湖湖滨商业街金城西路266号,20000
无锡市时代国际,梁溪清名桥太湖广场西南侧,17000
无锡市时代国际,梁溪清名桥太湖广场西南侧,15000
无锡市锋尚文创中心,梁溪黄巷民丰路168号,8900
无锡市上海中心城开国际,滨湖新体育中心太湖大道1888号（隐秀路口）,17000
无锡市创源大厦,新吴旺庄长江路21－1号长江路与黄山路交界处,8500
无锡市九龙仓国金中心,梁溪清名桥太湖广场钟书路99号,20000
无锡市中联公园里,锡山东北塘东亭北路、兴塘河旁,10300
无锡市梅里古都,新吴梅村梅村新华路,13000
无锡市长安哥伦布广场,惠山堰桥安春惠路与石新路交界,30000
无锡市融创枫丹御园,新吴鸿山鸿山至德大道与三让路交汇处,13500
无锡市嘉汇环球中心,新吴旺庄旺庄路湘江路金源商务中心B座,价格待定
无锡市汇坚国际QQ公寓,梁溪广益中元路8号,13000
无锡市龙玺太湖湾,宜兴市宜兴无锡宜兴周铁镇分百路8号,22000
无锡市绿地璀璨天城,锡山东亭太湖大道与华夏南路交汇处,价格待定
无锡市水畔兰庭,江阴市江阴祝塘镇环东路西侧、青祝河南侧,6800
无锡市绿地天空树,滨湖雪浪南泉蠡湖大道与具区路交汇处（华莱坞南侧）,22000
无锡市融创运河壹号府,梁溪清名桥塘南路131号,价格待定
无锡市观山名筑南区,滨湖塘铁桥观山名筑高浪路与瑞景道,15500
无锡市永利翡翠庄园,惠山钱桥钱桥大街北、育新路西,20000
无锡市太平洋城中城,惠山西漳惠山大道与天一路交汇处,13000
无锡市水岸名府,锡山鹅湖鹅湖镇蘅芳路1号,15500
无锡市融创森邻森邻,新吴生态园新吴区高浪路南侧、机场路东侧，地块紧邻高浪路立交,13500
无锡市中锐琅石名筑,滨湖万象城东绛信成道和闪溪河交汇处,23000
无锡市启迪协信·壹克拉,滨湖塘铁桥净慧东道和震泽路交界处,52
无锡市启迪协信·阿卡迪亚,滨湖华庄太湖国际科技园菱湖大道以东,19000
无锡市博大假日广场,滨湖长广溪大学城蠡湖大道与高浪交叉口西北侧,25000
无锡市恒威中央领地,梁溪清名桥清扬路,16000
无锡市红星大都汇,滨湖长广溪大学城观山路与五湖大道交汇处,40
无锡市复地拜伦湾,惠山堰桥政和大道99号,13500
无锡市理想城市花园七期,惠山堰桥惠山大道与金惠路交汇处,13000
无锡市富力桃园,新吴旺庄泰山路富力桃园,20000
无锡市融侨观邸一期,新吴江溪内环线东中央公园南侧,12500
无锡市绿地悦澜湾,惠山堰桥惠山大道与华惠路交汇处,10500
无锡市绿城雅园,滨湖胡埭胡杨路与刘闾路交叉口,850
无锡市路劲蠡湖院子,滨湖蠡湖新城中南西路与蠡溪路交西南侧,21000
无锡市惠都上府名园,惠山洛社洛城大道117号,13500
无锡市九龙仓时代上城C区,梁溪中桥清名路（清宁大桥南堍）,17500
无锡市鸿坤理想湾,新吴鸿山至德大道797号,11000
无锡市世贸公馆,梁溪清名桥太湖大道与清扬路交叉口东南角,17000
无锡市深港宝阁丽,新吴坊前东安路与新竹路交汇处,380
无锡市红豆·首府,江阴市江阴港下红豆万花城营销中心(红豆集团西门对面),11000
无锡市玉兰花园西三区,滨湖海岸城市民中心高浪路与立德路交汇处,18000
无锡市万健广场,惠山钱桥盛岸西路与新业大道交叉口,16000
无锡市春华里,新吴坊前春华路以西、泰伯大道以北、泰伯广场以东、国际一花园以南,18000
无锡市梦享城,惠山堰桥政和大道北、源生路西,7000
无锡市金盛华彩荟,梁溪广益广益路299号,9500
无锡市长江一号,新吴旺庄旺庄路与长江路交汇口东南角,8000
无锡市信运现代城,新吴江溪太湖大道658号,7500
无锡市万荟城,惠山刘潭锡澄路地铁一号线刘潭站南侧,8000
无锡市印象湖滨路劲,滨湖湖滨商业街中南西路与湖滨路交汇处,价格待定
无锡市香岛御墅,新吴鸿山鸿山街道EW3路北侧,价格待定
无锡市红梅·新天地,梁溪北大街县前西街与解放西路交叉口西北侧,价格待定
无锡市华润橡树湾,惠山堰桥政和大道与锡澄路交汇处,11000
无锡市红豆香江豪庭,锡山安镇润锡路与兴吴路交界处,15500
无锡市华夏世纪锦园南区,锡山安镇锡东大道与胶阳路交汇处,14500
无锡市万科海上传奇,滨湖万象城东绛大通路以北、信成道以东,25000
无锡市万科信成道,滨湖海岸城市民中心信成道高浪路交汇处（观顺道西侧）,25000
无锡市万科金域缇香,新吴江溪太湖大道长江北路,16000
无锡市长泰国际社区,锡山东亭锡沪路延伸段与纺城大道交汇处,14000
无锡市金轮星光名座生活广场,新吴江溪长江北路与前卫路交叉口,10000
无锡市龙世西湖湾,惠山玉祁民主路东、振祁路西,12000
无锡市积水住宅裕沁湖畔庭,滨湖华庄太科园菱湖大道以西、湖景路以北,23000
无锡市海岸城·八方汇,滨湖海岸城市民中心太湖新城立信大道与和畅路（原方庙路）交汇处,50000
无锡市蠡湖瑞仕花园,滨湖蠡湖新城东至蠡溪路南至陆典桥浜,23000
无锡市融创东方御园,锡山安镇山河路山河雅园80号,16000
无锡市利华广场,新吴江溪金城东路与前卫路交叉口西侧,11000
无锡市光华时代广场,梁溪上马墩人民东路与马巷路交汇处,14000
无锡市无锡圆融广场,梁溪民丰庄前锡澄路与江海路交叉口东南侧,11000
无锡市红豆·万花城,锡山东港东港镇锡港路以北，健康路以东，香山路以南(红豆集团西门对面),10000
无锡市中隆·润熙府,锡山安镇锡东新城锡沪路与润锡路交汇处南200米,价格待定
无锡市阳光100汀枫渡,惠山西漳堰桥镇西漳天一新街,25000
无锡市锡北星邻里,锡山锡北锡港公路与花园滨路交汇口,13000
无锡市华盛苑,滨湖万象城东绛行创四路和新光路交叉路口,13000
无锡市华润江南府,新吴东亭东安路与云竹路交会处,16000
无锡市广汇金色华府,惠山西漳惠山大道和天丰路交叉口,11000
无锡市红豆天一华府,锡山东亭锡沪路北老柏庄路西,22000
无锡市恒大悦珑湾,梁溪黄巷中山路金太湖国际广场西北侧,24000
无锡市万科北门塘上,梁溪黄巷广石西路与凤宾路交叉口西南侧,17500
无锡市碧桂园梅公馆,新吴梅村新韵北路与锡贤路交叉口,25000
无锡市九龙仓玺园D区,梁溪扬名南长街与金城路交汇处,1000
无锡市港悦华府,锡山东港东港镇锡港西路与兴港路交汇处,310
无锡市华府天地尊园,滨湖海岸城市民中心观顺道华府天地尊园,26000
无锡市鸿墅,惠山堰桥惠山新城惠源路789号,15000
无锡市耘林生命公寓,滨湖华庄太科园具区路以南、净慧东道以西,18000
无锡市保利达江湾城,梁溪北大街胜利门解放北路20号,价格待定
无锡市栖霞栖园,滨湖梅园香雪路与渔港路交叉口的西北侧,20000
无锡市藕乐汇·悦府Ⅱ期,惠山钱桥藕塘镇342省道以南，园区东路以西，藕塘大道以东,10000
无锡市乙画苑,惠山玉祁玉祁镇，东至振祁路，南至暮桥路，北至规划新桥路,15000
无锡市东方天郡,锡山东北塘东亭北路与芙蓉六路交汇处,12000
无锡市万科维园,新吴梅村锡义路与梅西路交汇处,15000
无锡市阳光100阿尔勒,惠山刘潭北环路与新锡澄路交叉处,价格待定
无锡市吉宝凌云峰阁,梁溪民丰庄前江海路南侧、锡澄路西侧,18000
无锡市龙湖九里晴川,惠山阳山阳山锡陆路狮子山麓,10545
无锡市龙泽半岛逸湾,惠山玉祁玉祁平湖城,7500
无锡市ΜΟΜΛ春风湖上,锡山鹅湖鹅湖镇景园路东、望湖路北、新园桥路南,20000
无锡市宝龙香槟湖,惠山玉祁玉祁唐平路与福西路交汇处,9800
无锡市吴月雅境,新吴鸿山锡梅路与鸿山路交汇处,17000
无锡市溪畔橡园,惠山石塘湾石塘湾石狮路与福邸路交汇处,11000
无锡市恒大城,锡山安镇高铁商务区锡沪路南、东翔路（原新韵路）东,18500
无锡市鸿威鸿景雅园,锡山锡北锡北新锡沙路与泉山路交汇,10500
无锡市海岸城郦园,滨湖海岸城市民中心海岸城郦园,25000
无锡市栖霞栖庭,梁溪中桥湖滨路与太湖大道交叉口东北侧,19500
无锡市融创银城惠山国际社区,惠山洛社洛社镇洛南大道与钱洛路交汇处,12600
无锡市华府庄园白金府邸,惠山堰桥惠山大道1525号,14000
无锡市塞纳公馆,惠山玉祁玉祁平湖新城(锡玉路与湖西路的交汇口),9100
无锡市苹果园幸福城,惠山钱桥县前西街106号,150
无锡市朗诗新郡,滨湖塘铁桥高浪路与贡湖大道交汇处东南侧,价格待定
无锡市实地玫瑰庄园,惠山玉祁惠山区前洲街道中惠路和曙光南路交叉口东北侧,9000
无锡市金丰观湖铂庭,滨湖梅园观湖路88号,21000
无锡市香缇半岛,惠山钱桥盛岸路洋溪公园城内,10000
无锡市百乐和园,惠山钱桥盛岸西路与佰乐路路口,14000
无锡市博大假日广场,滨湖长广溪大学城蠡湖大道与高浪交叉口西北侧,16000
无锡市天奇馨城,惠山洛社惠山区洛社人民南路128号,9500
无锡市融创玉兰公馆,惠山堰桥华惠路与惠景路交汇处,14000
无锡市康诗丹郡,梁溪上马墩广源路1号,14800
无锡市中邦·欢乐颂,新吴东亭太湖大道与春阳路交界处,11000
无锡市中建溪岸观邸,滨湖河埒口湖滨路与住友路交汇处,21000
无锡市嘉德水韵金阁,滨湖河埒口运河西路西侧,18000
无锡市朗诗太湖绿郡,滨湖塘铁桥新市民中心东侧,价格待定
无锡市洛城中央御景,惠山洛社洛城大道洛城中央御景,9500
无锡市融创·瑷颐湾,滨湖海岸城市民中心信成道与观山路交汇处,25000
无锡市吉宝澜岸铭邸,滨湖长广溪大学城金石路与高浪路交叉口东北侧,24500
无锡市锦翠嘉苑,惠山玉祁玉祁镇唐平湖区域曙光路东、洛洲路西西新路北交汇处,9100
无锡市华润悦府,滨湖河埒口梁溪路以南湖滨路以西,21800
无锡市恒大御澜湾,锡山东北塘春塘路与承塘路交汇处,12000
无锡市启迪协信·无锡科技城,梁溪山北江海西路888号（原金山北科技园会岸路88号）,13800
无锡市世茂时光里,梁溪北大街兴源北路与春申路交界处,价格待定
无锡市宝能城,滨湖海岸城市民中心吴都路和立信大道交汇处,23000
无锡市尚锦城C区,滨湖塘铁桥高浪路与南湖大道（中南路延伸段）交汇处,17000
无锡市鸿景中央府,新吴鸿山鸿山街道经十一路东侧、欣鸿路南侧、鸿新路西侧、唐明河北侧,12800
无锡市中海珑玺,滨湖塘铁桥观山路169号,16500
无锡市富力十号,滨湖万象城东绛太湖新城高浪路与立信大道交汇处,25000
无锡市启迪协信·梁溪本源,梁溪山北江海西路888号,16500
无锡市世茂御龙湾,江阴市江阴世茂御龙湾,价格待定
无锡市碧桂园暨阳府,江阴市江阴虹桥路栋碧桂园暨阳府,14000
无锡市碧桂园凤凰公馆,江阴市江阴环东路和东华路交汇处东北侧,350
无锡市十里明珠,滨湖马山常乐路8号,330
无锡市龙湖天宸原著,惠山堰桥堰新路龙湖天宸原著,350
无锡市龙湖天宸原著,惠山堰桥堰新路龙湖天宸原著,16000
无锡市香槟花园,滨湖胡埭振胡路115号,11000